slot,time_us,sta_id,mode,primary_cw,primary_backoff_counter,primary_backoff_stage,primary_retry_counter,npca_cw,npca_backoff_counter,npca_backoff_stage,npca_retry_counter,npca_timer,saved_primary_cw,saved_primary_backoff_counter,primary_obss_remain,npca_obss_remain,tx_channel,tx_type,tx_success,failure_reason,packet_id,retry_count,snr_db,effective_snr_db,harq_combining_count,action_taken,npca_transition_start,switch_back_start
0,0.0,0,PRIMARY_BACKOFF,15,3,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
0,0.0,1,PRIMARY_BACKOFF,15,0,0,0,15,0,0,0,0,,,0,0,PRIMARY,NEW,,,1,0,25.0,,,,False,False
0,0.0,2,PRIMARY_BACKOFF,15,8,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
1,9.0,0,PRIMARY_BACKOFF,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
1,9.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
1,9.0,2,PRIMARY_BACKOFF,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
2,18.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
2,18.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
2,18.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
3,27.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
3,27.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
3,27.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
4,36.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
4,36.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
4,36.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
5,45.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
5,45.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
5,45.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
6,54.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
6,54.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
6,54.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
7,63.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
7,63.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
7,63.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
8,72.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
8,72.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
8,72.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
9,81.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
9,81.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
9,81.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
10,90.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
10,90.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
10,90.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
11,99.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
11,99.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
11,99.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
12,108.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
12,108.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
12,108.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
13,117.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
13,117.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
13,117.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
14,126.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
14,126.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
14,126.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
15,135.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
15,135.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
15,135.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
16,144.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
16,144.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
16,144.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
17,153.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
17,153.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
17,153.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
18,162.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
18,162.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
18,162.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
19,171.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
19,171.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
19,171.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
20,180.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
20,180.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,PRIMARY,NEW,True,NONE,1,0,25.0,25.0,0,,False,False
20,180.0,2,PRIMARY_FROZEN,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
21,189.0,0,PRIMARY_BACKOFF,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
21,189.0,1,PRIMARY_BACKOFF,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
21,189.0,2,PRIMARY_BACKOFF,15,7,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
22,198.0,0,PRIMARY_BACKOFF,15,1,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
22,198.0,1,PRIMARY_BACKOFF,15,1,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
22,198.0,2,PRIMARY_BACKOFF,15,6,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
23,207.0,0,PRIMARY_BACKOFF,15,0,0,0,15,0,0,0,0,,,34,0,,,,,,,,,,TX_NEW_NPCA,True,False
23,207.0,1,PRIMARY_BACKOFF,15,0,0,0,15,0,0,0,0,,,34,0,,,,,,,,,,TX_NEW_NPCA,True,False
23,207.0,2,PRIMARY_BACKOFF,15,5,0,0,15,0,0,0,0,,,34,0,,,,,,,,,,TX_NEW_NPCA,True,False
24,216.0,0,NPCA_SWITCHING,15,0,0,0,15,6,0,0,33,15,0,33,0,,,,,,,,,,,False,False
24,216.0,1,NPCA_SWITCHING,15,0,0,0,15,7,0,0,33,15,0,33,0,,,,,,,,,,,False,False
24,216.0,2,NPCA_SWITCHING,15,5,0,0,15,0,0,0,33,15,5,33,0,,,,,,,,,,,False,False
25,225.0,0,NPCA_BACKOFF,15,0,0,0,15,6,0,0,32,15,0,32,0,,,,,,,,,,,False,False
25,225.0,1,NPCA_BACKOFF,15,0,0,0,15,7,0,0,32,15,0,32,0,,,,,,,,,,,False,False
25,225.0,2,NPCA_BACKOFF,15,5,0,0,15,0,0,0,32,15,5,32,0,NPCA,NEW,,,4,0,25.0,,,,False,False
26,234.0,0,NPCA_BACKOFF,15,0,0,0,15,5,0,0,31,15,0,31,0,,,,,,,,,,,False,False
26,234.0,1,NPCA_BACKOFF,15,0,0,0,15,6,0,0,31,15,0,31,0,,,,,,,,,,,False,False
26,234.0,2,NPCA_TX,15,5,0,0,15,0,0,0,31,15,5,31,0,,,,,,,,,,,False,False
27,243.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,30,15,0,30,0,,,,,,,,,,,False,False
27,243.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,30,15,0,30,0,,,,,,,,,,,False,False
27,243.0,2,NPCA_TX,15,5,0,0,15,0,0,0,30,15,5,30,0,,,,,,,,,,,False,False
28,252.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,29,15,0,29,0,,,,,,,,,,,False,False
28,252.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,29,15,0,29,0,,,,,,,,,,,False,False
28,252.0,2,NPCA_TX,15,5,0,0,15,0,0,0,29,15,5,29,0,,,,,,,,,,,False,False
29,261.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,28,15,0,28,0,,,,,,,,,,,False,False
29,261.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,28,15,0,28,0,,,,,,,,,,,False,False
29,261.0,2,NPCA_TX,15,5,0,0,15,0,0,0,28,15,5,28,0,,,,,,,,,,,False,False
30,270.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,27,15,0,27,0,,,,,,,,,,,False,False
30,270.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,27,15,0,27,0,,,,,,,,,,,False,False
30,270.0,2,NPCA_TX,15,5,0,0,15,0,0,0,27,15,5,27,0,,,,,,,,,,,False,False
31,279.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,26,15,0,26,0,,,,,,,,,,,False,False
31,279.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,26,15,0,26,0,,,,,,,,,,,False,False
31,279.0,2,NPCA_TX,15,5,0,0,15,0,0,0,26,15,5,26,0,,,,,,,,,,,False,False
32,288.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,25,15,0,25,0,,,,,,,,,,,False,False
32,288.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,25,15,0,25,0,,,,,,,,,,,False,False
32,288.0,2,NPCA_TX,15,5,0,0,15,0,0,0,25,15,5,25,0,,,,,,,,,,,False,False
33,297.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,24,15,0,24,0,,,,,,,,,,,False,False
33,297.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,24,15,0,24,0,,,,,,,,,,,False,False
33,297.0,2,NPCA_TX,15,5,0,0,15,0,0,0,24,15,5,24,0,,,,,,,,,,,False,False
34,306.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,23,15,0,23,0,,,,,,,,,,,False,False
34,306.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,23,15,0,23,0,,,,,,,,,,,False,False
34,306.0,2,NPCA_TX,15,5,0,0,15,0,0,0,23,15,5,23,0,,,,,,,,,,,False,False
35,315.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,22,15,0,22,0,,,,,,,,,,,False,False
35,315.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,22,15,0,22,0,,,,,,,,,,,False,False
35,315.0,2,NPCA_TX,15,5,0,0,15,0,0,0,22,15,5,22,0,,,,,,,,,,,False,False
36,324.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,21,15,0,21,0,,,,,,,,,,,False,False
36,324.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,21,15,0,21,0,,,,,,,,,,,False,False
36,324.0,2,NPCA_TX,15,5,0,0,15,0,0,0,21,15,5,21,0,,,,,,,,,,,False,False
37,333.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,20,15,0,20,0,,,,,,,,,,,False,False
37,333.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,20,15,0,20,0,,,,,,,,,,,False,False
37,333.0,2,NPCA_TX,15,5,0,0,15,0,0,0,20,15,5,20,0,,,,,,,,,,,False,False
38,342.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,19,15,0,19,0,,,,,,,,,,,False,False
38,342.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,19,15,0,19,0,,,,,,,,,,,False,False
38,342.0,2,NPCA_TX,15,5,0,0,15,0,0,0,19,15,5,19,0,,,,,,,,,,,False,False
39,351.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,18,15,0,18,0,,,,,,,,,,,False,False
39,351.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,18,15,0,18,0,,,,,,,,,,,False,False
39,351.0,2,NPCA_TX,15,5,0,0,15,0,0,0,18,15,5,18,0,,,,,,,,,,,False,False
40,360.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,17,15,0,17,0,,,,,,,,,,,False,False
40,360.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,17,15,0,17,0,,,,,,,,,,,False,False
40,360.0,2,NPCA_TX,15,5,0,0,15,0,0,0,17,15,5,17,0,,,,,,,,,,,False,False
41,369.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,16,15,0,16,0,,,,,,,,,,,False,False
41,369.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,16,15,0,16,0,,,,,,,,,,,False,False
41,369.0,2,NPCA_TX,15,5,0,0,15,0,0,0,16,15,5,16,0,,,,,,,,,,,False,False
42,378.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,15,15,0,15,0,,,,,,,,,,,False,False
42,378.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,15,15,0,15,0,,,,,,,,,,,False,False
42,378.0,2,NPCA_TX,15,5,0,0,15,0,0,0,15,15,5,15,0,,,,,,,,,,,False,False
43,387.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,14,15,0,14,0,,,,,,,,,,,False,False
43,387.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,14,15,0,14,0,,,,,,,,,,,False,False
43,387.0,2,NPCA_TX,15,5,0,0,15,0,0,0,14,15,5,14,0,,,,,,,,,,,False,False
44,396.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,13,15,0,13,0,,,,,,,,,,,False,False
44,396.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,13,15,0,13,0,,,,,,,,,,,False,False
44,396.0,2,NPCA_TX,15,5,0,0,15,0,0,0,13,15,5,13,0,,,,,,,,,,,False,False
45,405.0,0,NPCA_FROZEN,15,0,0,0,15,5,0,0,12,15,0,12,0,,,,,,,,,,,False,False
45,405.0,1,NPCA_FROZEN,15,0,0,0,15,6,0,0,12,15,0,12,0,,,,,,,,,,,False,False
45,405.0,2,NPCA_TX,15,5,0,0,15,0,0,0,12,15,5,12,0,NPCA,NEW,True,NONE,4,0,25.0,25.0,0,,False,False
46,414.0,0,NPCA_BACKOFF,15,0,0,0,15,5,0,0,11,15,0,11,0,,,,,,,,,,,False,False
46,414.0,1,NPCA_BACKOFF,15,0,0,0,15,6,0,0,11,15,0,11,0,,,,,,,,,,,False,False
46,414.0,2,NPCA_BACKOFF,15,5,0,0,15,13,0,0,11,15,5,11,0,,,,,,,,,,,False,False
47,423.0,0,NPCA_BACKOFF,15,0,0,0,15,4,0,0,10,15,0,10,0,,,,,,,,,,,False,False
