access,N_visitor,method,seed,succ_v,succ_n,useful
basic,5,pace,42,0.05405238095238095,0.6126380952380952,0.6666904761904762
basic,5,pace,123,0.056061904761904764,0.5969619047619048,0.6530238095238096
basic,5,pace,456,0.056742857142857143,0.5969952380952381,0.6537380952380952
basic,5,pace,789,0.05415238095238095,0.5996952380952381,0.653847619047619
basic,5,pace,1234,0.051366666666666665,0.6082571428571428,0.6596238095238095
basic,5,pace_noexcl,42,0.04980952380952381,0.5981571428571428,0.6479666666666667
basic,5,pace_noexcl,123,0.05008571428571429,0.5861190476190477,0.6362047619047619
basic,5,pace_noexcl,456,0.052295238095238096,0.5853285714285714,0.6376238095238095
basic,5,pace_noexcl,789,0.04778095238095238,0.6007619047619047,0.6485428571428571
basic,5,pace_noexcl,1234,0.05586190476190476,0.5919142857142857,0.6477761904761905
basic,5,pace_high,42,0.19726666666666667,0.038933333333333334,0.2362
basic,5,pace_high,123,0.2013095238095238,0.0363047619047619,0.23761428571428572
basic,5,pace_high,456,0.19633809523809523,0.03494761904761905,0.2312857142857143
basic,5,pace_high,789,0.20246666666666666,0.03795238095238095,0.24041904761904762
basic,5,pace_high,1234,0.21170952380952382,0.03302857142857143,0.24473809523809523
basic,5,pace_rand,42,0.1387142857142857,0.03637619047619048,0.17509047619047619
basic,5,pace_rand,123,0.15296666666666667,0.03501428571428571,0.1879809523809524
basic,5,pace_rand,456,0.13496666666666668,0.0324952380952381,0.16746190476190476
basic,5,pace_rand,789,0.1416047619047619,0.030404761904761903,0.1720095238095238
basic,5,pace_rand,1234,0.14129523809523808,0.030042857142857142,0.17133809523809523
basic,5,dcf_excl,42,0.18193809523809523,0.3434047619047619,0.5253428571428571
basic,5,dcf_excl,123,0.17918095238095239,0.34782380952380954,0.5270047619047619
basic,5,dcf_excl,456,0.17894761904761905,0.34962857142857146,0.5285761904761904
basic,5,dcf_excl,789,0.17209047619047618,0.35186666666666666,0.5239571428571429
basic,5,dcf_excl,1234,0.17277619047619047,0.3483,0.5210761904761905
basic,10,pace,42,0.13957142857142857,0.5627809523809524,0.702352380952381
basic,10,pace,123,0.1415,0.5676952380952381,0.7091952380952381
basic,10,pace,456,0.14285714285714285,0.555847619047619,0.6987047619047619
basic,10,pace,789,0.14152380952380952,0.5533428571428571,0.6948666666666666
basic,10,pace,1234,0.15514285714285714,0.5500047619047619,0.705147619047619
basic,10,pace_noexcl,42,0.14382857142857142,0.5284761904761904,0.6723047619047618
basic,10,pace_noexcl,123,0.1369,0.5263,0.6632
basic,10,pace_noexcl,456,0.14057619047619047,0.5379809523809523,0.6785571428571429
basic,10,pace_noexcl,789,0.14874285714285715,0.5326,0.6813428571428571
basic,10,pace_noexcl,1234,0.1457047619047619,0.5338619047619048,0.6795666666666667
basic,10,pace_high,42,0.05357619047619048,0.02049047619047619,0.07406666666666667
basic,10,pace_high,123,0.04875238095238095,0.020923809523809525,0.06967619047619047
basic,10,pace_high,456,0.0489,0.019376190476190477,0.06827619047619048
basic,10,pace_high,789,0.05032857142857143,0.020147619047619046,0.07047619047619047
basic,10,pace_high,1234,0.049538095238095235,0.021366666666666666,0.0709047619047619
basic,10,pace_rand,42,0.04068571428571428,0.02254761904761905,0.06323333333333334
basic,10,pace_rand,123,0.037657142857142854,0.02433809523809524,0.061995238095238096
basic,10,pace_rand,456,0.039947619047619044,0.02145714285714286,0.061404761904761906
basic,10,pace_rand,789,0.040157142857142857,0.02199047619047619,0.06214761904761905
basic,10,pace_rand,1234,0.042023809523809526,0.02346190476190476,0.06548571428571429
basic,10,dcf_excl,42,0.27116666666666667,0.21771904761904762,0.4888857142857143
basic,10,dcf_excl,123,0.2887857142857143,0.20706190476190475,0.49584761904761904
basic,10,dcf_excl,456,0.2829285714285714,0.21346190476190477,0.4963904761904762
basic,10,dcf_excl,789,0.28136190476190476,0.2140857142857143,0.495447619047619
basic,10,dcf_excl,1234,0.2669761904761905,0.21134285714285714,0.47831904761904764
basic,20,pace,42,0.3262285714285714,0.39204285714285714,0.7182714285714286
basic,20,pace,123,0.3174142857142857,0.39374761904761907,0.7111619047619048
basic,20,pace,456,0.3191047619047619,0.40326666666666666,0.7223714285714286
basic,20,pace,789,0.32066190476190476,0.39675714285714286,0.7174190476190476
basic,20,pace,1234,0.3018952380952381,0.4097142857142857,0.7116095238095238
basic,20,pace_noexcl,42,0.31657142857142856,0.36369523809523807,0.6802666666666667
basic,20,pace_noexcl,123,0.3000047619047619,0.3562190476190476,0.6562238095238095
basic,20,pace_noexcl,456,0.3073714285714286,0.3653952380952381,0.6727666666666666
basic,20,pace_noexcl,789,0.3097285714285714,0.3602,0.6699285714285714
basic,20,pace_noexcl,1234,0.3181761904761905,0.3547571428571429,0.6729333333333334
basic,20,pace_high,42,0.020542857142857144,0.01586190476190476,0.036404761904761905
basic,20,pace_high,123,0.019814285714285715,0.014380952380952381,0.0341952380952381
basic,20,pace_high,456,0.019514285714285713,0.0157,0.03521428571428571
basic,20,pace_high,789,0.016771428571428573,0.015742857142857142,0.03251428571428571
basic,20,pace_high,1234,0.021595238095238094,0.014180952380952381,0.035776190476190475
basic,20,pace_rand,42,0.015419047619047619,0.014819047619047619,0.030238095238095238
basic,20,pace_rand,123,0.01400952380952381,0.01804761904761905,0.03205714285714286
basic,20,pace_rand,456,0.017047619047619048,0.018252380952380954,0.0353
basic,20,pace_rand,789,0.01697142857142857,0.015342857142857142,0.03231428571428571
basic,20,pace_rand,1234,0.015642857142857142,0.01778095238095238,0.03342380952380952
basic,20,dcf_excl,42,0.2819809523809524,0.07763809523809524,0.3596190476190476
basic,20,dcf_excl,123,0.28985714285714287,0.08265714285714286,0.3725142857142857
basic,20,dcf_excl,456,0.2680190476190476,0.09055238095238095,0.3585714285714286
basic,20,dcf_excl,789,0.2774857142857143,0.08376666666666667,0.36125238095238094
basic,20,dcf_excl,1234,0.2842,0.0845,0.3687
basic,50,pace,42,0.4984904761904762,0.1794,0.6778904761904762
basic,50,pace,123,0.5161333333333333,0.17272857142857143,0.6888619047619048
basic,50,pace,456,0.5293142857142857,0.17023333333333332,0.6995476190476191
basic,50,pace,789,0.5119238095238096,0.18386666666666668,0.6957904761904762
basic,50,pace,1234,0.5208571428571429,0.17576666666666665,0.6966238095238095
basic,50,pace_noexcl,42,0.49092857142857144,0.14524285714285715,0.6361714285714286
basic,50,pace_noexcl,123,0.48224285714285714,0.14595714285714287,0.6282
basic,50,pace_noexcl,456,0.4872666666666667,0.14826666666666666,0.6355333333333333
basic,50,pace_noexcl,789,0.48565714285714284,0.15067619047619046,0.6363333333333333
basic,50,pace_noexcl,1234,0.4895238095238095,0.14736666666666667,0.6368904761904762
basic,50,pace_high,42,0.011547619047619048,0.013647619047619047,0.025195238095238097
basic,50,pace_high,123,0.011857142857142858,0.01319047619047619,0.025047619047619048
basic,50,pace_high,456,0.013261904761904761,0.013504761904761905,0.026766666666666668
basic,50,pace_high,789,0.013695238095238095,0.013561904761904761,0.027257142857142858
basic,50,pace_high,1234,0.014161904761904763,0.014185714285714286,0.02834761904761905
basic,50,pace_rand,42,0.011247619047619048,0.016414285714285715,0.027661904761904763
basic,50,pace_rand,123,0.009780952380952381,0.01577142857142857,0.02555238095238095
basic,50,pace_rand,456,0.01151904761904762,0.014361904761904761,0.02588095238095238
basic,50,pace_rand,789,0.009195238095238095,0.016290476190476192,0.025485714285714285
basic,50,pace_rand,1234,0.010961904761904761,0.015776190476190475,0.026738095238095238
basic,50,dcf_excl,42,0.13443333333333332,0.019671428571428572,0.1541047619047619
basic,50,dcf_excl,123,0.14556190476190475,0.022185714285714284,0.16774761904761903
basic,50,dcf_excl,456,0.13803809523809524,0.023142857142857142,0.16118095238095237
basic,50,dcf_excl,789,0.13514761904761904,0.02432857142857143,0.15947619047619047
basic,50,dcf_excl,1234,0.14566190476190477,0.02167142857142857,0.16733333333333333
rts,5,pace,42,0.07653809523809524,0.6494571428571428,0.7259952380952381
rts,5,pace,123,0.06872857142857143,0.6604809523809524,0.7292095238095239
rts,5,pace,456,0.07827619047619047,0.6471619047619047,0.7254380952380952
rts,5,pace,789,0.07898095238095239,0.648547619047619,0.7275285714285714
rts,5,pace,1234,0.0767952380952381,0.6442904761904762,0.7210857142857143
rts,5,pace_noexcl,42,0.07165714285714286,0.6357761904761905,0.7074333333333334
rts,5,pace_noexcl,123,0.07898095238095239,0.6324619047619048,0.7114428571428572
rts,5,pace_noexcl,456,0.07293809523809523,0.6415428571428572,0.7144809523809523
rts,5,pace_noexcl,789,0.07123333333333333,0.6379809523809524,0.7092142857142857
